"Name", "Light", "Dark", "Dark Elevated"
"Backgrounds Grouped/Primary", "Gray99", "Gray5", "Gray10"
"Backgrounds Grouped/Secondary", "White100", "Gray10", "Gray20"
"Backgrounds/Primary", "White100", "Gray5", "Gray10"
"Backgrounds/Secondary", "Gray99", "Gray10", "Gray20"
"Button/CTA", "Purple60", "Purple60", "Purple60"
"Destrcutive", "Red70", "Red70", "Red70"
"General/Amber/Primary", "Amber60", "Amber70", "Amber70"
"General/Amber/Secondary", "Amber90", "Amber20", "Amber20"
"General/Blue/Primary", "Blue60", "Blue70", "Blue70"
"General/Blue/Secondary", "Blue90", "Blue20", "Blue20"
"General/Gray/Primary", "Gray60", "Gray60", "Gray70"
"General/Gray/Secondary", "Gray90", "Gray20", "Gray30"
"General/Magenta/Primary", "Magenta60", "Magenta70", "Purple70"
"General/Magenta/Secondary", "Magenta90", "Magenta20", "Purple20"
"General/Olive/Primary", "Olive60", "Olive70", "Olive70"
"General/Olive/Secondary", "Olive90", "Olive20", "Olive20"
"General/Purple/Primary", "Purple60", "Purple70", "Purple70"
"General/Purple/Secondary", "Purple90", "Purple20", "Purple20"
"General/Red/Primary", "Red60", "Red70", "Red70"
"General/Red/Secondary", "Red90", "Red20", "Red20"
"Highlight/Amber", "Amber90", "Amber60", "Amber60"
"Highlight/Blue", "Blue80", "Blue50", "Blue50"
"Highlight/Gray", "Gray80", "Gray50", "Gray50"
"Highlight/Magenta", "Magenta80", "Magenta50", "Magenta50"
"Highlight/Olive", "Olive80", "Olive50", "Olive50"
"Highlight/Purple", "Purple80", "Purple50", "Purple50"
"Highlight/Red", "Red80", "Red50", "Red50"
"Hover", "Black5", "White5", "White5"
"Line/Light", "Black5", "White5", "White5"
"Line/Regular", "Black10", "White10", "White10"
"Popover/Background", "White100", "Gray20", "Gray30"
"Text Selection", "Black10", "White10", "White10"
"Text/Active", "Text/Colored/Purple", "Text/Colored/Purple", "Text/Colored/Purple"
"Text/Colored/Amber", "General/Amber/Primary", "General/Amber/Primary", "General/Amber/Primary"
"Text/Colored/Blue", "General/Blue/Primary", "General/Blue/Primary", "General/Blue/Primary"
"Text/Colored/Green", "General/Olive/Primary", "General/Olive/Primary", "General/Olive/Primary"
"Text/Colored/Magenta", "General/Magenta/Primary", "General/Magenta/Primary", "General/Blue/Primary"
"Text/Colored/Purple", "General/Purple/Primary", "General/Purple/Primary", "General/Purple/Primary"
"Text/Colored/Red", "General/Red/Primary", "General/Red/Primary", "General/Red/Primary"
"Text/Disable", "Gray80", "Gray40", "Gray40"
"Text/Emphasize", "Gray5", "White100", "White100"
"Text/Link", "Text/Colored/Blue", "Text/Colored/Blue", "Text/Colored/Blue"
"Text/Regular", "Gray20", "Gray90", "Gray90"
"Text/Subtle", "Gray70", "Gray70", "Gray70"
"Toolbar/Background", "Gray95", "Gray30", "Gray40"